,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
993,2017-06-06,0.0016098277406509742,-0.01466286975662861,0.017272866523873637,0.0016098277406509742,0.0016098277406509742,-0.0005200990241888502,-0.0005200990241888502,-0.0005200990241888502,-0.00037812922742407246,-0.00037812922742407246,-0.00037812922742407246,-0.00014196979676477775,-0.00014196979676477775,-0.00014196979676477775,0.0,0.0,0.0,0.0010897287164621239
994,2017-06-07,0.0016201928662647248,-0.014350102861073796,0.01668029980192254,0.0016201928662647248,0.0016201928662647248,-0.0007268027800001389,-0.0007268027800001389,-0.0007268027800001389,-0.000350132721402205,-0.000350132721402205,-0.000350132721402205,-0.00037667005859793386,-0.00037667005859793386,-0.00037667005859793386,0.0,0.0,0.0,0.0008933900862645858
995,2017-06-08,0.001630557991878474,-0.013555522366346167,0.01654271689370046,0.001630557991878474,0.001630557991878474,-0.0007190369691596381,-0.0007190369691596381,-0.0007190369691596381,-0.0001074633292032771,-0.0001074633292032771,-0.0001074633292032771,-0.000611573639956361,-0.000611573639956361,-0.000611573639956361,0.0,0.0,0.0,0.0009115210227188359
996,2017-06-09,0.0016409231174922246,-0.013522881038941333,0.01686406548791028,0.0016409231174922246,0.0016409231174922246,-0.0002696061187962152,-0.0002696061187962152,-0.0002696061187962152,0.0005704791033621595,0.0005704791033621595,0.0005704791033621595,-0.0008400852221583747,-0.0008400852221583747,-0.0008400852221583747,0.0,0.0,0.0,0.0013713169986960094
997,2017-06-10,0.0016512882431059738,-0.01462798905186205,0.01652627796881283,0.0016512882431059738,0.0016512882431059738,-0.0007935341091672585,-0.0007935341091672585,-0.0007935341091672585,0.00026249211837451393,0.00026249211837451393,0.00026249211837451393,-0.0010560262275417724,-0.0010560262275417724,-0.0010560262275417724,0.0,0.0,0.0,0.0008577541339387153
998,2017-06-11,0.0016616533687197255,-0.014477513621911468,0.016655044172110205,0.0016616533687197255,0.0016616533687197255,-0.0009049536666509164,-0.0009049536666509164,-0.0009049536666509164,0.0003488492300011961,0.0003488492300011961,0.0003488492300011961,-0.0012538028966521124,-0.0012538028966521124,-0.0012538028966521124,0.0,0.0,0.0,0.000756699702068809
999,2017-06-12,0.0016720184878513985,-0.016452201383026357,0.014480797687296064,0.0016720184878513985,0.0016720184878513985,-0.0017746481676394533,-0.0017746481676394533,-0.0017746481676394533,-0.0003460951737083595,-0.0003460951737083595,-0.0003460951737083595,-0.0014285529939310937,-0.0014285529939310937,-0.0014285529939310937,0.0,0.0,0.0,-0.00010262967978805475
1000,2017-06-13,0.0016823836069830716,-0.015725647421836915,0.01601055632054023,0.0016823836069830716,0.0016823836069830716,-0.001954396676946605,-0.001954396676946605,-0.001954396676946605,-0.00037812922742309744,-0.00037812922742309744,-0.00037812922742309744,-0.0015762674495235075,-0.0015762674495235075,-0.0015762674495235075,0.0,0.0,0.0,-0.0002720130699635332
1001,2017-06-14,0.0016927487261147447,-0.01599377219236949,0.014429809145777543,0.0016927487261147447,0.0016927487261147447,-0.0020440167467310694,-0.0020440167467310694,-0.0020440167467310694,-0.00035013272140028463,-0.00035013272140028463,-0.00035013272140028463,-0.0016938840253307849,-0.0016938840253307849,-0.0016938840253307849,0.0,0.0,0.0,-0.0003512680206163247
1002,2017-06-15,0.0017031138452464189,-0.016153872167688682,0.014979169798620698,0.0017031138452464189,0.0017031138452464189,-0.0018868142737728149,-0.0018868142737728149,-0.0018868142737728149,-0.00010746332920321034,-0.00010746332920321034,-0.00010746332920321034,-0.0017793509445696045,-0.0017793509445696045,-0.0017793509445696045,0.0,0.0,0.0,-0.00018370042852639597
